*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Semi-major axis       =  3396.2 
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150        Equatorial radius, Re = 3394.0 km                                       
  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Oct 26 09:42:56 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2018-Dec-31 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.2 x 3396.2 x 3376.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: mar097}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.181025.p190116                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2018-OCT-25. PREDICTS-> 2019-JAN-15
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*****************************************************************************************************************************************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN:SC.fff, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), dRA*cosD,d(DEC)/dt, SN.ang,  SN.dist,   NP.ang,  NP.dist,   hEcl-Lon,  hEcl-Lat,               r,       rdot,            delta,     deldot,   VmagSn,  VmagOb,     PlAng,    ObsEcLon,   ObsEcLat,     GlxLon,    GlxLat, Tru_Anom,
*****************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
 2018-Dec-31 00:00:00.000, 2458483.500000000, , , 38.4928776, 14.8080671, 85.92155, -6.19821,  94.13,     0.00, 345.4875,    -3.06,  40.825912, -0.278958,  1.452311104132,  2.0444516, 1.45231110413212,  2.0444516, 25.28778,25.28778,  -0.00911,  40.8259122, -0.2789584, 156.725443,-41.239274,  64.6139,
 2019-Jan-01 00:00:00.000, 2458484.500000000, , , 39.0512466, 15.0033411, 85.77751, -6.24575,  94.16,     0.00, 345.3581,    -3.06,  41.399454, -0.260651,  1.453494653640,  2.0540692, 1.45349465364018,  2.0540692, 25.26810,25.26810,  -0.00910,  41.3994541, -0.2606506, 157.204852,-40.793811,  65.1878,
 2019-Jan-02 00:00:00.000, 2458485.500000000, , , 39.6097199, 15.1969368, 85.63319, -6.29235,  94.20,     0.00, 345.2305,    -3.06,  41.972059, -0.242347,  1.454683693856,  2.0634657, 1.45468369385633,  2.0634657, 25.24835,25.24835,  -0.00909,  41.9720589, -0.2423466, 157.677090,-40.347123,  65.7607,
 2019-Jan-03 00:00:00.000, 2458486.500000000, , , 40.1682987, 15.3888394, 85.48861, -6.33802,  94.24,     0.00, 345.1048,    -3.06,  42.543725, -0.224048,  1.455878097114,  2.0726412, 1.45587809711375,  2.0726412, 25.22853,25.22853,  -0.00909,  42.5437247, -0.2240483, 158.142344,-39.899275,  66.3326,
 2019-Jan-04 00:00:00.000, 2458487.500000000, , , 40.7269843, 15.5790342, 85.34379, -6.38277,  94.28,     0.00, 344.9810,    -3.06,  43.114450, -0.205758,  1.457077735776,  2.0815958, 1.45707773577622,  2.0815958, 25.20864,25.20864,  -0.00908,  43.1144498, -0.2057580, 158.600793,-39.450333,  66.9036,
 2019-Jan-05 00:00:00.000, 2458488.500000000, , , 41.2857774, 15.7675071, 85.19876, -6.42658,  94.31,     0.00, 344.8590,    -3.06,  43.684233, -0.187477,  1.458282482256,  2.0903294, 1.45828248225577,  2.0903294, 25.18868,25.18868,  -0.00907,  43.6842326, -0.1874774, 159.052616,-39.000358,  67.4737,
 2019-Jan-06 00:00:00.000, 2458489.500000000, , , 41.8446786, 15.9542439, 85.05352, -6.46947,  94.35,     0.00, 344.7389,    -3.06,  44.253072, -0.169209,  1.459492209031,  2.0988424, 1.45949220903058,  2.0988424, 25.16865,25.16865,  -0.00907,  44.2530716, -0.1692085, 159.497984,-38.549411,  68.0429,
 2019-Jan-07 00:00:00.000, 2458490.500000000, , , 42.4036880, 16.1392309, 84.90811, -6.51144,  94.39,     0.00, 344.6206,    -3.06,  44.820965, -0.150953,  1.460706788664,  2.1071347, 1.46070678866408,  2.1071347, 25.14856,25.14856,  -0.00906,  44.8209654, -0.1509534, 159.937064,-38.097551,  68.6111,
 2019-Jan-08 00:00:00.000, 2458491.500000000, , , 42.9628055, 16.3224545, 84.76254, -6.55249,  94.42,     0.00, 344.5042,    -3.06,  45.387913, -0.132714,  1.461926093824,  2.1152067, 1.46192609382390,  2.1152067, 25.12841,25.12841,  -0.00905,  45.3879128, -0.1327138, 160.370021,-37.644834,  69.1783,
